CustomerKey,CustomerID,FirstName,LastName,Email,Gender,Birth,AddressKey,IsActive,CreateDate,LanguageKey,PreferredCategoryKey,DeviceType,RegistrationSource
1501,50435122-64bf-4708-8e6b-05f393b57b2c,Gabriel,Martin,gabriel.martin6801@example.com,male,1988-06-13,2001,1,2017-07-24,212,278,desktop,web
1502,d85f6741-581c-48fc-b3da-2c2f7be1992a,Laura,Wilson,laura.wilson6087@example.com,female,1990-04-11,2002,1,2010-12-22,210,271,tablet,mobile_app
1503,d0eeffeb-c044-4cac-a5d2-c869be695adb,Ethan,Smith,ethan.smith703@example.com,male,1999-05-15,2003,0,2018-01-01,210,298,smart_tv,web
1504,e2d04688-79b6-4d45-8932-6111074b3f9e,Casey,Wilson,casey.wilson1374@example.com,other,2000-02-20,2004,1,2020-04-16,210,298,mobile,web
1505,18cb0e8e-5409-497b-9c97-d5a65807c8f7,Juan,Martin,juan.martin5314@example.com,male,2000-09-07,2005,1,2021-03-29,210,282,mobile,web
1506,cb45cfad-c716-479e-8370-242216556832,Ryan,Simon,ryan.simon1623@example.com,male,2001-09-21,2006,1,2023-04-28,212,267,smart_tv,mobile_app
1507,c7419ff9-716c-4f3b-a95b-90efb552b56b,Julie,Johnson,julie.johnson9071@example.com,female,2008-03-23,2007,1,2026-04-13,210,281,mobile,partner
1508,2bcecb57-e2cc-42bc-9531-84d9bcc126a9,Emma,Taylor,emma.taylor1210@example.com,female,2000-05-23,2008,1,2018-09-05,210,298,smart_tv,smart_tv
1509,1763844f-076e-4d35-919c-db58a4422d51,Alice,Jones,alice.jones5269@example.com,female,1973-05-27,2009,1,2010-10-01,210,272,tablet,web
1510,3104c269-5826-46cf-86b1-398792b53c71,Pierre,Brown,pierre.brown1545@example.com,male,1996-09-13,2010,1,2019-02-25,210,302,smart_tv,mobile_app
1511,1f1a6d40-1e68-40fd-b3a7-89aa3f3948f9,Sarah,Moore,sarah.moore8297@example.com,female,2008-05-15,2011,1,2026-05-30,210,273,smart_tv,web
1512,9991efc1-51b4-4882-a4e3-e89846fe1106,Mason,Souza,mason.souza3801@example.com,male,1984-09-16,2012,1,2024-08-22,217,291,tablet,mobile_app
1513,726b8bf5-d406-46d2-8ab4-ebfceef66be3,Ana,Wilson,ana.wilson5180@example.com,female,2001-05-04,2013,1,2023-09-15,210,269,mobile,web
1514,df3343e6-5ecb-4892-8d6a-086f30088379,David,Miller,david.miller3304@example.com,male,2006-05-29,2014,1,2025-07-17,210,301,smart_tv,web
1515,57a26ba3-2460-4609-9c03-fb88078e5291,Hannah,Michel,hannah.michel6074@example.com,female,1987-11-06,2015,1,2010-01-12,212,280,desktop,smart_tv
1516,f49c87ea-d8d1-47a4-908d-7544f5007e11,Hans,Carvalho,hans.carvalho5073@example.com,male,1984-12-29,2016,1,2010-06-11,217,291,tablet,web
1517,f6455d1a-3716-4255-b1c1-d6c8e0180632,Isabella,Wilson,isabella.wilson7648@example.com,female,1997-06-25,2017,1,2023-02-01,210,302,smart_tv,web
1518,92a46036-4a36-47f1-ac9b-5a182def181a,Anna,Santos,anna.santos9074@example.com,female,1995-12-25,2018,0,2015-09-10,217,301,smart_tv,mobile_app
1519,54a6173e-aa93-4bbd-bc3d-fa2b7fed99e6,Logan,Roy,logan.roy5207@example.com,male,1985-03-04,2019,1,2022-07-14,210,298,desktop,partner
1520,f2b97843-7a11-4825-93ba-bb8aeb571535,Anna,Johnson,anna.johnson2940@example.com,female,1994-02-17,2020,1,2018-05-16,210,269,tablet,web
1521,74c6fe39-1902-4816-8979-0470406ad1d2,Noah,Gagnon,noah.gagnon1473@example.com,male,1994-06-29,2021,1,2016-02-04,210,305,smart_tv,web
1522,a3105c9a-49c3-417a-8b22-1622254c1a18,William,Leroy,william.leroy268@example.com,male,1994-08-15,2022,1,2013-03-04,212,268,mobile,smart_tv
1523,5d158154-5805-4778-9de1-6b5244615fc5,Connor,Taylor,connor.taylor5065@example.com,male,1992-11-25,2023,1,2023-10-29,210,297,mobile,smart_tv
1524,e1ea1d66-c27e-4a80-b845-e397ca648ead,William,Johnson,william.johnson9248@example.com,male,2002-10-19,2024,0,2020-12-15,210,276,smart_tv,web
1525,63e6b3c7-16f5-4269-87eb-c3bbb6b8d9d9,Pierre,Schmidt,pierre.schmidt475@example.com,male,2002-07-04,2025,1,2025-12-28,210,282,mobile,web
1526,505bdee6-ee2a-4d5f-a43a-4a77564e8a2e,Nathan,Taylor,nathan.taylor2269@example.com,male,1981-03-22,2026,1,2021-10-13,210,291,smart_tv,smart_tv
1527,57493850-bb85-4e2e-87ce-d003a4f3a0ab,Charlotte,Johnson,charlotte.johnson8279@example.com,female,1992-06-30,2027,1,2019-09-02,210,301,mobile,smart_tv
1528,0959e552-20e0-4266-b5bb-269adc070b98,Emma,Taylor,emma.taylor3271@example.com,female,1986-11-09,2028,1,2010-09-02,210,298,smart_tv,web
1529,2d4664af-ec1c-43ff-bf6f-00e5ec3aaecf,Ethan,Wilson,ethan.wilson8165@example.com,male,1990-03-25,2029,0,2010-01-15,210,271,smart_tv,partner
